show_id,genre_id
60031278,3
60001363,8
81103517,1
80175802,6
60026477,3
80094096,4
80013249,6
81085824,24
80236408,1
81039161,4
80198635,1
80240537,4
81151899,29
81030976,22
81017011,15
80213715,13
80198632,8
70143241,10
80210294,5
81092331,17
80232852,20
80173485,4
81028404,17
81032626,20
80198508,3
80228239,2
80233104,20
80228129,20
81032669,20
81032659,20
81026700,1
70242311,12
80201328,7
80155932,4
80994020,4
80130521,20
80236236,23
80117542,2
81128790,1
80225024,3
70108777,8
80217743,20
80233419,1
70259259,3
80057611,5
70034607,4
70118801,8
80213654,13
80158802,13
70117354,8
81036524,3
70025372,8
70123160,8
81035840,3
81144516,1
80997613,3
80171362,27
81092325,2
80192098,6
80091742,9
80160037,7
80186926,11
80179782,5
80996338,1
81116487,1
80998968,15
70272893,4
81113926,8
80175934,5
80993627,1
81155782,4
81003981,3
81151313,2
70042688,3
70109429,10
81011993,15
80100105,1
70201870,11
80075178,11
80145805,11
80214010,11
81154166,5
81153373,4
81011936,4
80179784,5
80221109,3
80221942,20
80221943,20
81145271,4
80215147,1
80141270,1
81024041,4
80222071,20
80210245,1
80224312,20
81044248,4
80191236,1
80224314,20
80224184,7
80224602,20
80224279,20
81094069,1
81094893,1
80221677,8
70084221,3
81040704,9
80234791,2
81056491,5
81088331,5
80234451,12
80995079,10
81036520,2
81098589,13
80221446,10
81088333,5
70189282,4
80134695,20
81039323,4
81078217,6
80223153,2
81108281,1
80076160,2
80233218,1
80099089,8
80057281,25
80211648,9
80217769,1
80242137,1
80241590,1
81072109,1
80036416,16
60010069,18
70241791,5
81099997,5
70084148,4
81064394,5
70101345,8
80189451,6
80238020,13
70128697,8
70044688,24
60035622,10
80117079,4
70001958,18
81099996,5
70066433,8
70098899,4
81121171,10
81121172,2
81121173,2
81121174,2
81121175,2
81121176,2
81121177,2
81121178,2
81121179,2
81121180,2
81121181,2
81121182,2
81121183,2
81121184,2
81121185,2
81121186,2
81121187,2
81121188,2
81121189,2
70265211,14
70109689,8
855084,18
80005772,5
70105369,10
60029369,18
81086718,11
80005738,10
60000415,17
70112731,10
81130297,17
60033320,8
81100120,5
81060038,3
60020745,8
18907685,18
80142000,5
81113468,10
81017506,2
70114342,8
70021661,8
70084795,8
60027701,8
70021654,10
81099976,5
81077862,2
70001777,18
81100135,5
81093122,17
80024232,16
70293788,4
81039384,4
70157266,7
81145270,30
81128584,3
80134080,4
80183051,11
80178726,6
81130373,2
80245117,6
81010818,1
81023011,1
81091378,8
